date,ticker,held,close,state,zone_lo,zone_hi,poc,pct_in_profit,wk_circle,wk_score,wk_weeks,monthly_up,vh_status,whale,absorption,divergence,shelf_stable,conv_score,conv_tier,gates_ok,gates_failed,ftag,rs12_rank,origin,whale_rank,candle
2026-07-14,AXTI,0,50.46,PULLBACK,50.4,52.98,66.8189,28.41,AMBER,2,3,1,,1,1,0,1,52,fails,0,G2 trend;G4 basis,F:0/3,,shadow-screen,,YELLOW
2026-07-14,AZO,0,3078.98,CAUTION,3016.37,3170.26,3077.93,29.48,WHITE,0,22,0,BREAKDOWN,1,1,1,1,18,fails,0,G2 trend;G3 leader,F:2/3,,shadow-screen,,RED
2026-07-14,BA,0,215.51,CAUTION,204.77,215.22,217.965,31.94,AMBER,2,1,0,,0,0,0,0,17,fails,0,G2 trend;G3 leader;G4 basis,F:2/3,,shadow-screen,,YELLOW
2026-07-14,BAC,0,59.5,ACCUMULATE,58.3,61.27,52.3109,98.22,RED,4,7,1,BREAKOUT,0,0,0,1,48,fails,0,G3 leader,F:2/3,,shadow-screen,,NEUTRAL
2026-07-14,BE,0,233.49,ACCUMULATE,230.85,242.63,278.421,52.28,RED,3,58,1,INSIDE,1,1,0,1,69,fails,0,G4 basis,F:2/3,,shadow-screen,,YELLOW
2026-07-14,BKNG,0,175.8,BOTTOMING,173.04,181.87,168.127,55.47,WHITE,0,26,0,BREAKOUT,1,0,1,1,18,fails,0,G2 trend;G3 leader,F:2/3,,shadow-screen,,YELLOW
2026-07-14,BSX,0,44.65,CAUTION,43.71,45.94,44.6055,14.99,WHITE,0,33,0,,0,0,0,1,22,fails,0,G2 trend;G3 leader,F:3/3,,shadow-screen,,NEUTRAL
2026-07-14,C,0,140.71,HOLD,130.21,136.85,142.928,85,RED,4,18,1,BREAKOUT,0,0,0,0,53,fails,0,G4 basis,F:2/3,,shadow-screen,,NEUTRAL
2026-07-14,CAT,0,931.47,ACCUMULATE,891.71,937.2,909.906,73.99,RED,3,56,1,BREAKOUT,0,0,0,0,74,STARTER,1,,F:2/3,,shadow-screen,,YELLOW
2026-07-14,CAVA,0,72.54,CAUTION,71.21,74.84,79.8304,35.75,AMBER,2,3,0,,0,0,0,1,25,fails,0,G2 trend;G3 leader;G4 basis,F:3/3,,owner-request,,YELLOW
2026-07-14,CBRS,0,204.62,CAUTION,195.35,205.32,218.132,27.29,WHITE,0,10,0,,0,0,0,0,18,fails,0,G2 trend;G3 leader;G4 basis;G5 data,F:—,,shadow-screen,,RED
